fighter_name,height_cm,weight_pounds,reach_cm,stance,date_of_birth,f_wins,win_rate,f_losses,loss_rate,f_draws,draw_rate,f_dc_nc,dc_nc_rate,career_SLpM,career_StrAcc,career_SApM,career_StrDef,career_TD_Avg,career_TD_Acc,career_TD_Def,career_Sub_Avg
Michael Trizano,180.34,145.0,180.34,Orthodox,1991-12-31,11,79,3,21,0,0,0.0,0,3.63,53,4.4,50,0.36,66,72,0.5
Antonio Trocoli,198.12,185.0,200.66,Orthodox,1990-12-06,12,67,5,28,0,0,1.0,6,1.29,50,5.79,23,0.84,11,50,0.8
Tor Troeng,187.96,185.0,,Orthodox,1983-01-25,16,67,7,29,1,4,0.0,0,1.16,46,3.26,32,0.62,7,66,0.3
Aaron Trujillo,165.1,125.0,,,,0,0,1,100,0,0,0.0,0,0.0,0,0.0,0,0.0,0,0,0.0
Reynaldo Trujillo,175.26,155.0,,,1982-01-01,21,52,19,48,0,0,0.0,0,0.0,0,0.0,0,0.0,0,0,0.0
Abel Trujillo,172.72,155.0,177.8,Orthodox,1983-09-18,15,62,8,33,0,0,1.0,4,2.65,41,2.31,59,2.18,45,40,0.4
Arman Tsarukyan,170.18,155.0,182.88,Orthodox,1996-10-11,22,88,3,12,0,0,0.0,0,3.79,48,1.84,53,3.25,37,75,0.0
Rei Tsuruya,167.64,125.0,172.72,Orthodox,2002-06-22,10,100,0,0,0,0,0.0,0,2.28,60,1.31,46,5.45,50,50,2.5
Chris Tuchscherer,187.96,258.0,193.04,Orthodox,1975-09-08,21,81,4,15,0,0,1.0,4,1.35,31,3.17,47,1.19,18,0,0.6
Jon Tuck,180.34,155.0,185.42,Orthodox,1984-08-28,10,67,5,33,0,0,0.0,0,3.0,40,3.74,60,0.42,33,50,1.0
Gavin Tucker,167.64,145.0,167.64,Southpaw,1986-06-17,13,81,3,19,0,0,0.0,0,4.29,44,4.18,57,3.13,44,53,1.5
Jumabieke Tuerxun,170.18,135.0,,Orthodox,1986-04-17,19,79,4,17,1,4,0.0,0,1.6,28,3.08,59,0.47,11,66,0.9
Tom Tuggle,187.96,250.0,,Orthodox,,0,0,3,100,0,0,0.0,0,0.0,0,2.14,0,32.14,100,0,0.0
Blair Tugman,182.88,135.0,,,,10,62,6,38,0,0,0.0,0,2.25,53,0.93,50,7.5,60,0,0.0
Tai Tuivasa,187.96,264.0,190.5,Southpaw,1993-03-16,15,65,8,35,0,0,0.0,0,3.77,46,5.18,44,0.0,0,57,0.0
Zubaira Tukhugov,172.72,155.0,172.72,Orthodox,1991-01-15,20,74,6,22,1,4,0.0,0,3.17,39,3.07,63,2.13,39,100,0.0
Teila Tuli,182.88,430.0,,Orthodox,1969-06-14,0,0,1,100,0,0,0.0,0,0.0,0,0.0,0,0.0,0,0,0.0
Marco Tulio,182.88,185.0,187.96,Orthodox,1994-06-13,13,93,1,7,0,0,0.0,0,5.02,51,2.68,58,1.17,20,0,0.6
Nyamjargal Tumendemberel,170.18,125.0,180.34,Orthodox,1998-03-22,8,89,1,11,0,0,0.0,0,3.13,38,3.29,51,2.42,31,52,2.4
Albert Tumenov,180.34,170.0,185.42,Orthodox,1991-12-26,18,82,4,18,0,0,0.0,0,3.76,42,3.34,58,0.2,20,75,0.0
Ricky Turcios,175.26,135.0,180.34,Orthodox,1993-06-05,13,72,5,28,0,0,0.0,0,4.73,40,3.72,52,0.91,20,44,0.4
Anton Turkalj,193.04,205.0,198.12,Orthodox,1996-06-10,8,67,4,33,0,0,0.0,0,2.45,42,3.42,54,4.98,41,16,0.0
Wellington Turman,182.88,170.0,182.88,Orthodox,1996-07-22,18,69,8,31,0,0,0.0,0,3.23,51,4.17,45,1.55,20,42,0.8
Courtney Turner,187.96,170.0,,,,0,0,3,100,0,0,0.0,0,0.0,0,0.0,0,0.0,0,0,0.0
Jalin Turner,190.5,155.0,195.58,Southpaw,1995-05-18,14,64,8,36,0,0,0.0,0,5.6,48,4.57,41,0.79,55,74,1.1
Austin Tweedy,175.26,155.0,,Orthodox,1990-09-25,8,80,2,20,0,0,0.0,0,4.29,66,6.43,0,0.0,0,0,0.0
Marcin Tybura,190.5,249.0,198.12,Orthodox,1985-11-09,26,74,9,26,0,0,0.0,0,3.57,49,3.26,55,1.42,33,77,0.1
Takeru Uchida,165.1,125.0,172.72,Southpaw,2002-09-30,6,86,1,14,0,0,0.0,0,0.0,0,0.0,0,0.0,0,0,4.4
Alberto Uda,190.5,185.0,,Orthodox,1984-08-08,12,86,2,14,0,0,0.0,0,1.79,52,3.49,45,2.83,50,66,0.0
Ryuki Ueyama,180.34,180.0,,Southpaw,1976-04-17,12,33,18,50,5,14,1.0,3,0.13,21,1.4,46,0.5,100,0,1.5
Christian Uflacker,180.34,170.0,,,1985-08-04,5,100,0,0,0,0,0.0,0,0.0,0,0.0,0,0.0,0,0,0.0
Andy Uhrich,182.88,170.0,,,,11,65,6,35,0,0,0.0,0,0.0,0,0.0,0,0.0,0,0,0.0
Tagir Ulanbekov,170.18,125.0,177.8,Southpaw,1991-08-07,16,89,2,11,0,0,0.0,0,3.13,47,3.2,49,3.56,47,63,1.7
Carlos Ulberg,193.04,205.0,195.58,Orthodox,1990-11-07,12,92,1,8,0,0,0.0,0,7.2,56,4.27,50,0.72,75,83,0.2
Gasan Umalatov,180.34,170.0,180.34,Orthodox,1982-09-11,17,74,4,17,2,9,0.0,0,2.23,39,4.1,59,0.75,17,90,0.0
Jeremy Umphries,,160.0,,,,5,71,2,29,0,0,0.0,0,0.0,0,0.0,0,0.0,0,0,0.0
Zach Underwood,187.96,185.0,,,,13,65,7,35,0,0,0.0,0,0.0,0,0.0,0,0.0,0,0,0.0
Caol Uno,170.18,155.0,177.8,Southpaw,1975-05-08,33,58,19,33,5,9,0.0,0,1.91,49,1.9,50,1.95,31,37,0.5
Kengo Ura,175.26,165.0,,,1981-06-20,14,50,12,43,2,7,0.0,0,1.05,37,2.38,48,2.85,28,50,1.4
Logan Urban,182.88,170.0,182.88,Orthodox,1994-04-22,5,71,1,14,0,0,1.0,14,2.55,66,16.6,27,0.0,0,0,0.0
Hector Urbina,180.34,170.0,185.42,Orthodox,1987-09-17,17,61,10,36,1,4,0.0,0,0.97,38,2.44,39,0.0,0,38,3.8
Elias Urbina,190.5,185.0,195.58,Southpaw,1993-10-09,3,75,1,25,0,0,0.0,0,3.85,37,6.17,50,0.0,0,0,0.0
Gilbert Urbina,190.5,170.0,190.5,Orthodox,1996-04-05,7,64,4,36,0,0,0.0,0,5.61,57,4.61,44,3.01,44,0,0.8
Nick Urso,167.64,125.0,167.64,Southpaw,1985-09-26,10,71,3,21,0,0,1.0,7,3.61,45,5.06,36,0.0,0,0,0.0
